ticker,year,coverage_pct,days,status
TUNISAIR,2024,0.0,0,missing_year
TUNISAIR,2025,0.0,0,missing_year
TUNISIE LEASING,2018,59.12698412698413,149,partial_year
TUNISIE LEASING,2019,0.0,0,missing_year
TUNISIE LEASING,2020,0.0,0,missing_year
TUNISIE LEASING,2021,0.0,0,missing_year
TUNISIE LEASING,2022,0.0,0,missing_year
TUNISIE LEASING,2023,0.0,0,missing_year
TUNISIE LEASING,2024,0.0,0,missing_year
TUNISIE LEASING,2025,0.0,0,missing_year
TUNISIE LEASING F,2016,0.0,0,missing_year
TUNISIE LEASING F,2017,0.0,0,missing_year
TUNISIE LEASING F,2018,39.682539682539684,100,partial_year
TUNISIE LEASING F,2022,0.0,0,missing_year
TUNISIE LEASING F,2023,0.0,0,missing_year
TUNISIE VALEURS,2016,0.0,0,missing_year
TUNISIE VALEURS,2017,0.0,0,missing_year
TUNISIE VALEURS,2018,27.380952380952383,69,partial_year
TUNISIE VALEURS,2020,35.714285714285715,90,partial_year
TUNISIE VALEURS,2021,0.0,0,missing_year
TUNISIE VALEURS,2022,0.0,0,missing_year
TUNISIE VALEURS,2023,0.0,0,missing_year
TUNISIE VALEURS,2024,0.0,0,missing_year
TUNISIE VALEURS,2025,0.0,0,missing_year
UADH,2021,48.80952380952381,123,partial_year
UADH,2022,0.0,0,missing_year
UADH,2023,0.0,0,missing_year
UADH,2024,0.0,0,missing_year
UADH,2025,0.0,0,missing_year
UNIMED,2016,64.68253968253968,163,partial_year
WIFACK INT BANK,2017,50.39682539682539,127,partial_year
WIFACK INT BANK,2020,42.06349206349206,106,partial_year
WIFACK INT BANK,2021,0.0,0,missing_year
WIFACK INT BANK,2022,0.0,0,missing_year
WIFACK INT BANK,2023,0.0,0,missing_year
WIFACK INT BANK,2025,0.0,0,missing_year
